년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-01,1,4295.52,179,735.12,0,735.12,0.72,0,0,0,0,0,0,0,1.44,78.48,410.4,639.36,723.6,735.12,694.08,574.56,348.48,89.28,0.72,0,0,0,0,0,0
2020-01-01,2,4294.8,179,756.72,0,756.72,2.88,0,0,0,0,0,0,0,2.88,143.28,420.48,635.76,727.2,756.72,720,559.44,260.64,68.4,0,0,0,0,0,0,0
2020-01-01,3,7115.4,296,1450.8,0,1450.8,1.8,0,0,0,0,0,0,0,5.4,88.2,257.4,1099.8,1418.4,1450.8,1366.2,1099.8,279,48.6,1.8,0,0,0,0,0,0
2020-01-01,4,10908,455,1909.8,0,1909.8,1.8,0,0,0,0,0,0,0,9,300.6,1085.4,1621.8,1863,1909.8,1803.6,1449,793.8,70.2,1.8,0,0,0,0,0,0
2020-01-02,1,3948.48,165,694.8,0,694.8,0.72,0,0,0,0,0,0,0,2.16,76.32,375.12,595.44,684.72,694.8,632.16,510.48,299.52,77.04,0.72,0,0,0,0,0,0
2020-01-02,2,3971.52,165,707.76,0,707.76,0.72,0,0,0,0,0,0,0,2.88,127.44,387.36,592.56,689.04,707.76,656.64,501.84,239.76,65.52,0.72,0,0,0,0,0,0
2020-01-02,3,6645.6,277,1348.2,0,1348.2,1.8,0,0,0,0,0,0,0,5.4,97.2,264.6,1035,1330.2,1348.2,1229.4,968.4,293.4,72,1.8,0,0,0,0,0,0
2020-01-02,4,9939.6,414,1767.6,0,1767.6,3.6,0,0,0,0,0,0,0,9,255.6,982.8,1510.2,1749.6,1767.6,1620,1270.8,675,95.4,3.6,0,0,0,0,0,0
2020-01-03,1,4022.64,168,695.52,0,695.52,1.44,0,0,0,0,0,0,0,1.44,75.6,369.36,585.36,676.8,695.52,645.12,551.52,333.36,87.12,1.44,0,0,0,0,0,0
2020-01-03,2,4050,169,714.24,0,714.24,0.72,0,0,0,0,0,0,0,1.44,122.4,382.32,586.08,686.16,714.24,681.84,545.76,259.92,69.12,0.72,0,0,0,0,0,0
2020-01-03,3,6741,281,1353.6,0,1353.6,1.8,0,0,0,0,0,0,0,3.6,97.2,268.2,1020.6,1308.6,1353.6,1263.6,1049.4,313.2,61.2,1.8,0,0,0,0,0,0
