ID,Average temp.,Low temp.,High temp.,10-minute maximum precipitation (mm),Maximum precipitation per hour (mm),Daily precipitation (mm),Maximum instantaneous wind speed (m/s),Maximum instantaneous wind speed wind direction (16 directions),Max wind speed (m/s),Maximum wind speed Wind direction (16 directions),Average wind speed (m/s),Wind match (100m),The largest wind direction (16 directions),Average dew point temperature (¡ÆC),Minimum relative humidity (%),Average relative humidity (%),Average vapor pressure (hPa),Average local pressure (hPa),Peak sea level pressure (hPa),Minimum sea level pressure (hPa),Mean sea level pressure (hPa),Possible sunshine duration (hr),Total sunshine hours (hr),Average ground temperature (¡ÆC),Minimum Initial Temperature (¡ÆC),Amount of charge
CC,8.3,1,16.2,,,,5.2,200,3.8,340,1.6,1401,340,-2,23,54.5,5.3,1019.6,1031.9,1025.5,1029,12.6,11.3,10.3,-1.6,224.661
CC,8,-0.6,15.8,,,,6.8,230,4.8,230,1.5,1296,230,-3.3,20,51,4.8,1017.6,1029.6,1023.5,1027,12.7,11.4,10,-4.5,225.73
CC,8.7,-0.7,18.6,,,,4.6,160,3,230,0.9,807,320,-3.5,14,49.8,4.8,1018.4,1030.3,1024.6,1027.8,12.7,11.5,10.8,-4.9,219.989
CC,9.8,0.2,19,,,,7.4,230,4.5,200,1.6,1347,200,-1.6,19,50.5,5.4,1018,1030.7,1024.2,1027.3,12.7,11.6,11.7,-3.8,197.753
CC,10.4,0.5,17.9,,,,7.2,250,4.9,230,1.8,1598,200,-3.6,19,43.1,4.7,1012.8,1026.6,1017.9,1022,12.8,10.7,11.9,-3.7,199.036
CC,12.4,3.8,19.3,,,,6.5,270,4.2,290,1.6,1401,200,-3.1,17,36.8,4.9,1011.3,1023.4,1017.7,1020.4,12.8,9.7,12.7,-0.8,147.409
CC,12.7,7.3,18.6,,,,8.2,270,5.9,230,2.5,2172,230,-2.7,21,36,5.1,1007.8,1020.5,1012.7,1016.9,12.9,10.8,15.7,1.5,199.602
CC,12.1,1.1,21.7,,,,6.9,200,4.2,230,1.5,1283,230,-1.2,21,44.4,5.7,1009.9,1023.2,1015.2,1019.1,12.9,11.6,14.5,-3.5,181.824
CC,16.6,7.8,25.7,,,,8.4,200,5.1,230,1.8,1544,230,4.5,25,48.3,8.4,1006.1,1017.1,1011.9,1015.1,12.9,10.3,18,4.1,209.567
CC,17.6,7.9,26.8,,,,5.9,250,4.3,250,1.6,1350,200,3.4,17,46.4,7.9,1007.4,1019,1013,1016.3,13,11.2,18.7,2.9,227.463
CC,18.4,9.5,27.4,,,,6.2,230,3.9,200,1.4,1238,230,7.9,29,53.8,10.7,1004.3,1017.4,1008.8,1013.2,13,11.3,20,4.8,198.206
CC,19.6,12.6,27.9,0.5,0.8,0.4,5.8,200,4,70,1.7,1508,230,12,37,64.5,14.1,1001.5,1012.8,1006.3,1010.3,13.1,9.4,22.1,7.7,202.446
CC,10.5,8.9,14.2,1.3,2.9,7.9,8.8,20,5.6,50,3.4,2898,50,2.9,40,62.1,7.8,1008.6,1020.2,1011.6,1017.7,13.1,0,11.5,8.1,190.044
CC,11.1,8.7,14.4,,,,7.8,70,4.4,50,3,2567,50,1.3,39,51.8,6.8,1011,1022.2,1018.3,1020.2,13.1,0.7,11.4,5.8,177.514
CC,10.8,3.6,19.8,0,0,0,8.4,360,5.8,360,1.8,1541,320,1.6,18,57.6,6.9,1009.2,1021.9,1012.8,1018.3,13.2,10.1,13.3,-0.6,225.8
