time,PT-204,PT-203,PT-205,PT-202,GD-205,GD-206,T.T1B(OIL),P.T2-1B,T.T1A(OIL),P.T2-1A,compressor2,T.T2-1B,compressor1,T.T2-1A,P.T1-1B,P.T1-1A,GD-204,T.T1-1B,GD-203,T.T1-1A,Chiller No. 2 Dispenser COOLER,Chiller No. 1 Dispenser COOLER,MFM-201,SUM DATA,TEMP,PT-201,GD-201,GD-202
10:36:18,44.75,86.1,86.53,44.66,0,0,31,52.1,19,50.4,0,28,0,22,8.4,6.6,3,21,0,22,-37,5,0,2207.1,21,11.51,0,0
10:36:19,44.75,86.1,86.53,44.66,0,0,31,52.1,19,50.4,0,28,0,22,8.4,6.6,3,21,0,22,-37,5,0,2207.1,21,11.51,0,0
10:36:20,44.69,86.06,86.4,44.59,0,0,31,52.1,19,50.3,0,27,0,21,8.4,6.6,3,21,0,22,-37,5,0,2207.1,21,11.47,0,0
10:36:21,44.69,86.06,86.4,44.59,0,0,31,52.1,19,50.3,0,27,0,21,8.4,6.6,3,21,0,22,-37,5,0,2207.1,21,11.47,0,0
10:36:22,44.69,86.06,86.4,44.59,0,0,31,52.1,19,50.3,0,27,0,21,8.4,6.6,3,21,0,22,-38,5,0,2207.1,21,11.47,0,0
10:36:23,44.76,86.1,86.49,44.65,0,0,31,52.1,19,50.3,0,28,0,22,8.4,6.6,3,21,0,22,-38,5,0,2207.1,21,11.52,0,0
10:36:24,44.76,86.1,86.49,44.65,0,0,31,52.1,19,50.3,0,28,0,22,8.4,6.6,3,21,0,22,-38,5,0,2207.1,21,11.52,0,0
10:36:25,44.71,86.08,86.42,44.56,0,0,31,52,19,50.3,0,27,0,21,8.3,6.5,3,21,0,22,-38,5,0,2207.1,21,11.47,0,0
10:36:26,44.71,86.08,86.42,44.56,0,0,31,52,19,50.3,0,27,0,21,8.3,6.5,3,21,0,22,-38,5,0,2207.1,21,11.47,0,0
10:36:27,44.71,86.08,86.42,44.56,0,0,31,52,19,50.3,0,27,0,21,8.3,6.5,3,21,0,22,-38,5,0,2207.1,21,11.47,0,0
