time,GD-201,GD-202,PT-201,TEMP,Chiller No. 1 Dispenser COOLER,Chiller No. 2 Dispenser COOLER,GD-203,T.T1-1A,P.T1-1A,T.T2-1A,P.T2-1A,T.T1A(OIL),GD-204,T.T1-1B,P.T1-1B,T.T2-1B,P.T2-1B,T.T1B(OIL),PT-202,PT-204,PT-203,PT-205,GD-205,GD-206
10:36:18,0,0,15,21,5,-37,0,22,6.6,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.75,86.1,86.53,0,0
10:36:19,0,0,11.51,21,5,-37,0,22,10,22,50.4,19,3,21,8.4,28,52.1,31,44.66,44.75,86.1,86.53,0,0
10:36:20,0,0,11.47,21,5,-37,0,22,6.6,21,65,19,3,21,8.4,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:36:21,0,0,11.47,21,5,-37,0,22,6.6,21,50.3,19,3,21,15,27,52.1,31,44.59,44.69,86.06,86.4,0,0
10:36:22,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,65,31,44.59,44.69,86.06,86.4,0,0
10:36:23,0,0,11.52,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,55,44.76,86.1,86.49,0,0
10:36:24,0,0,11.52,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,28,52.1,31,44.65,60,86.1,86.49,0,0
10:36:25,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,91,86.42,0,0
10:36:26,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,86.08,98,0,0
10:36:27,0,0,11.47,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.56,44.71,95,86.42,0,0
10:36:28,0,0,16,21,5,-38,0,22,6.5,21,50.3,19,3,21,8.3,27,52,31,44.55,44.67,86.05,86.4,0,0
10:36:29,0,0,11.47,21,5,-38,0,22,11,21,50.3,19,3,21,8.3,27,52,31,44.55,44.67,86.05,86.4,0,0
10:36:30,0,0,11.52,21,5,-38,0,22,6.6,22,64,19,3,21,8.4,28,52.1,31,44.66,44.83,86.14,86.53,0,0
10:36:31,0,0,11.52,21,5,-38,0,22,6.6,22,50.4,19,3,21,14,28,52.1,31,44.66,44.83,86.14,86.53,0,0
10:36:32,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,63,31,44.59,44.76,86.06,86.5,0,0
10:36:33,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,55,44.76,86.06,86.5,0,0
10:36:34,0,0,11.49,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52,31,44.59,54,86.06,86.5,0,0
10:36:35,0,0,11.49,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.6,44.78,96,86.48,0,0
10:36:36,0,0,11.49,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52,31,44.6,44.78,86.1,100,0,0
10:36:37,0,0,16,21,5,-38,0,22,6.6,21,50.4,19,3,21,8.4,27,52.1,31,44.62,44.76,86.11,86.51,0,0
10:36:38,0,0,11.47,21,5,-38,0,22,11,21,50.4,19,3,21,8.4,27,52.1,31,44.62,44.76,86.11,86.51,0,0
10:36:39,0,0,11.44,21,5,-38,0,22,6.6,22,64,19,3,21,8.3,27,52,31,44.54,44.72,86.01,86.39,0,0
10:36:40,0,0,11.44,21,5,-38,0,22,6.6,22,50.3,19,3,21,19,27,52,31,44.54,44.72,86.01,86.39,0,0
