일시,AC_출력_1,AC_출력_2,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2020-01-01 00:00:00,0.0,0.0,-3.2,221.0,2.5,0.0,19.3
2020-01-01 01:00:00,0.0,0.0,-3.0,206.6,2.3,0.0,19.9
2020-01-01 02:00:00,0.0,0.0,-2.3,217.7,2.7,0.0,27.0
2020-01-01 03:00:00,0.0,0.0,-1.8,247.0,2.9,0.0,35.1
2020-01-01 04:00:00,0.0,0.0,-1.5,228.4,3.2,0.0,40.2
2020-01-01 05:00:00,0.0,0.0,-1.2,224.2,3.9,0.0,42.5
2020-01-01 06:00:00,0.0,0.0,-1.1,232.5,2.9,0.0,43.3
2020-01-01 07:00:00,0.0,0.0,-1.0,228.1,2.3,0.0,44.5
2020-01-01 08:00:00,10.68750004,13.48666688,-0.4,242.7,2.7,0.0,43.7
2020-01-01 09:00:00,21.32166672,25.70666647,1.0,232.0,1.7,0.0,39.9
2020-01-01 10:00:00,28.07333326,32.99749994,2.8,196.5,2.5,0.0,36.0
2020-01-01 11:00:00,29.85333331,36.3033336,4.3,175.7,2.4,0.0,32.0
2020-01-01 12:00:00,27.98750003,35.57833354,5.6,188.0,3.0,0.0,30.4
2020-01-01 13:00:00,24.71749989,31.6183335,6.4,202.6,3.3,0.0,28.1
2020-01-01 14:00:00,17.3100001,23.9466664,6.1,205.0,3.6,0.0,29.7
2020-01-01 15:00:00,8.337499936,13.32749995,5.9,199.4,4.1,0.0,30.7
2020-01-01 16:00:00,3.796666662,4.608333329,4.9,206.3,3.0,0.0,32.9
2020-01-01 17:00:00,3.487500012,3.462500036,3.0,219.1,2.7,0.0,38.7
2020-01-01 18:00:00,0.0,0.0,2.3,236.8,3.7,0.0,38.9
2020-01-01 19:00:00,0.0,0.0,2.1,234.5,3.7,0.0,37.3
2020-01-01 20:00:00,0.0,0.0,1.9,231.5,2.7,0.0,37.4
2020-01-01 21:00:00,0.0,0.0,1.7,234.7,3.5,0.0,38.6
2020-01-01 22:00:00,0.0,0.0,1.3,240.3,3.1,0.0,38.8
2020-01-01 23:00:00,0.0,0.0,1.0,229.0,3.2,0.0,39.1
2020-01-02 00:00:00,0.0,0.0,0.9,233.0,2.5,0.0,37.2
2020-01-02 01:00:00,0.0,0.0,0.9,230.1,2.4,0.0,39.6
2020-01-02 02:00:00,0.0,0.0,0.7,231.8,3.6,0.0,41.6
2020-01-02 03:00:00,0.0,0.0,0.8,226.7,3.4,0.0,40.7
2020-01-02 04:00:00,0.0,0.0,0.6,225.3,2.0,0.0,43.1
2020-01-02 05:00:00,0.0,0.0,0.6,230.0,2.6,0.0,45.8
2020-01-02 06:00:00,0.0,0.0,0.8,229.0,2.1,0.0,47.1
2020-01-02 07:00:00,0.0,0.0,0.8,229.4,2.9,0.0,48.5
2020-01-02 08:00:00,8.644166748,10.70000005,1.2,227.9,2.8,0.0,49.0
2020-01-02 09:00:00,19.42545449,23.5918182,2.5,219.1,3.0,0.0,46.6
2020-01-02 10:00:00,26.52333355,31.39750004,4.5,205.0,1.9,0.0,41.8
2020-01-02 11:00:00,28.24666675,34.24666691,6.2,205.9,2.4,0.0,35.6
2020-01-02 12:00:00,26.07583348,32.98749987,7.3,203.1,2.6,0.0,32.1
2020-01-02 13:00:00,22.84181838,28.66909131,8.6,249.8,1.3,0.0,28.0
2020-01-02 14:00:00,15.8725001,21.28083324,8.6,285.7,2.0,0.0,29.5
2020-01-02 15:00:00,7.667500019,11.78083324,8.3,270.8,1.0,0.0,30.5
2020-01-02 16:00:00,3.945833325,4.54916662,7.8,238.0,2.2,0.0,32.3
2020-01-02 17:00:00,3.574999928,3.534999967,5.4,255.1,2.1,0.0,37.5
2020-01-02 18:00:00,0.0,0.0,4.3,235.0,2.9,0.0,42.7
2020-01-02 19:00:00,0.0,0.0,4.3,238.7,2.1,0.0,45.0
2020-01-02 20:00:00,0.0,0.0,4.0,237.5,1.7,0.0,45.1
2020-01-02 21:00:00,0.0,0.0,3.7,243.2,3.1,0.0,45.3
2020-01-02 22:00:00,0.0,0.0,3.6,255.1,2.9,0.0,45.6
2020-01-02 23:00:00,0.0,0.0,3.6,242.4,2.8,0.0,44.6
2020-01-03 00:00:00,0.0,0.0,3.5,236.7,3.0,0.0,44.3
2020-01-03 01:00:00,0.0,0.0,3.5,241.5,2.4,0.0,43.1
2020-01-03 02:00:00,0.0,0.0,3.1,232.1,2.8,0.0,44.2
2020-01-03 03:00:00,0.0,0.0,3.0,212.3,2.1,0.0,43.4
2020-01-03 04:00:00,0.0,0.0,3.2,221.0,3.0,0.0,40.6
2020-01-03 05:00:00,0.0,0.0,3.2,253.5,2.2,0.0,38.2
2020-01-03 06:00:00,0.0,0.0,3.1,240.8,1.1,0.0,38.1
2020-01-03 07:00:00,0.0,0.0,3.3,248.0,1.7,0.0,34.9
2020-01-03 08:00:00,8.580000043,10.49000013,3.6,249.1,1.8,0.0,33.0
2020-01-03 09:00:00,17.03083332,20.07333326,4.6,233.0,1.3,0.0,32.2
2020-01-03 10:00:00,21.60749992,23.57444445,6.8,260.8,3.0,0.0,24.5
2020-01-03 11:00:00,28.38083347,34.09909092,8.7,262.8,2.8,0.0,18.8
2020-01-03 12:00:00,27.11583328,33.61916701,9.9,357.1,0.7,0.0,15.9
2020-01-03 13:00:00,24.22454557,29.9325002,10.5,255.4,2.2,0.0,17.7
2020-01-03 14:00:00,17.056346893310547,23.25,10.4,286.5,2.6,0.0,17.3
2020-01-03 15:00:00,8.488333344,13.11833318,10.2,300.1,2.8,0.0,18.9
2020-01-03 16:00:00,3.833333373,4.629166702,9.6,278.1,2.4,0.0,19.2
2020-01-03 17:00:00,3.430000067,3.405000091,7.9,288.1,2.1,0.0,21.2
2020-01-03 18:00:00,0.0,0.0,6.8,285.3,2.3,0.0,23.6
2020-01-03 19:00:00,0.0,0.0,6.0,246.3,1.0,0.0,24.5
2020-01-03 20:00:00,0.0,0.0,5.7,248.6,2.2,0.0,25.9
2020-01-03 21:00:00,0.0,0.0,5.0,252.4,1.7,0.0,28.0
2020-01-03 22:00:00,0.0,0.0,4.7,241.7,2.1,0.0,28.7
2020-01-03 23:00:00,0.0,0.0,4.4,255.4,1.8,0.0,29.3
2020-01-04 00:00:00,0.0,0.0,4.0,223.0,2.4,0.0,30.3
2020-01-04 01:00:00,0.0,0.0,3.8,250.8,2.1,0.0,30.2
2020-01-04 02:00:00,0.0,0.0,3.5,218.8,1.3,0.0,30.4
2020-01-04 03:00:00,0.0,0.0,3.3,228.5,2.4,0.0,30.8
2020-01-04 04:00:00,0.0,0.0,2.9,247.6,2.8,0.0,30.8
2020-01-04 05:00:00,0.0,0.0,2.8,219.1,2.0,0.0,30.3
2020-01-04 06:00:00,0.0,0.0,2.6,229.6,1.6,0.0,29.7
2020-01-04 07:00:00,0.0,0.0,3.0,256.6,2.7,0.0,27.9
2020-01-04 08:00:00,8.842499832,10.70333338,3.1,256.1,4.1,0.0,27.3
2020-01-04 09:00:00,20.77083349,25.06249968,4.3,258.5,3.3,0.0,24.3
2020-01-04 10:00:00,27.46916676,32.2566665,6.1,263.6,3.8,0.0,21.7
2020-01-04 11:00:00,29.87272731,35.43999967,8.3,300.7,4.1,0.0,19.1
2020-01-04 12:00:00,28.29500008,34.8108333,8.6,307.7,3.5,0.0,19.5
2020-01-04 13:00:00,24.60666656,30.61666648,9.0,305.3,3.5,0.0,20.4
2020-01-04 14:00:00,17.18833311,23.25416644,9.7,290.9,2.5,0.0,21.0
2020-01-04 15:00:00,8.421666702,13.02083341,10.4,334.6,1.7,0.0,19.2
2020-01-04 16:00:00,3.828333318,4.656666696,9.1,291.9,3.1,0.0,20.2
2020-01-04 17:00:00,3.491666675,3.474000025,7.0,279.2,2.0,0.0,24.6
2020-01-04 18:00:00,0.0,0.0,5.7,281.0,1.4,0.0,28.2
2020-01-04 19:00:00,0.0,0.0,5.5,289.5,2.0,0.0,29.6
2020-01-04 20:00:00,0.0,0.0,4.3,231.8,1.0,0.0,33.2
2020-01-04 21:00:00,0.0,0.0,4.4,242.8,2.3,0.0,33.4
2020-01-04 22:00:00,0.0,0.0,4.3,247.7,2.0,0.0,34.1
2020-01-04 23:00:00,0.0,0.0,4.1,257.5,3.1,0.0,35.6
2020-01-05 00:00:00,0.0,0.0,3.5,239.9,2.8,0.0,37.7
2020-01-05 01:00:00,0.0,0.0,2.8,237.5,2.4,0.0,39.3
2020-01-05 02:00:00,0.0,0.0,2.8,240.5,3.2,0.0,38.8
2020-01-05 03:00:00,0.0,0.0,2.3,213.9,1.7,0.0,40.2
2020-01-05 04:00:00,0.0,0.0,2.2,236.4,2.2,0.0,40.4
2020-01-05 05:00:00,0.0,0.0,2.2,230.1,2.6,0.0,40.8
2020-01-05 06:00:00,0.0,0.0,1.7,179.9,1.3,0.0,43.3
2020-01-05 07:00:00,0.0,0.0,1.3,178.0,1.3,0.0,45.8
2020-01-05 08:00:00,9.688333352,12.14333336,1.0,173.7,1.5,0.0,47.4
2020-01-05 09:00:00,20.7808334,25.10999982,3.6,236.3,1.5,0.0,38.5
2020-01-05 10:00:00,27.51000023,32.40666628,6.0,235.0,1.5,0.0,32.1
2020-01-05 11:00:00,29.88333321,35.44749928,7.9,299.3,2.3,0.0,23.9
2020-01-05 12:00:00,27.96250025,34.51249981,8.5,41.2,2.3,0.0,28.4
2020-01-05 13:00:00,24.24416653,30.09166686,9.4,25.7,1.7,0.0,32.5
2020-01-05 14:00:00,16.64416703,22.33083359,9.0,56.9,1.5,0.0,36.7
2020-01-05 15:00:00,7.760833343,11.47416663,8.7,84.1,1.2,0.0,40.3
2020-01-05 16:00:00,3.854545463,4.273636341,8.1,92.2,1.4,0.0,44.1
2020-01-05 17:00:00,3.472000027,3.444000053,7.2,0.0,0.0,0.0,50.0
2020-01-05 18:00:00,0.0,0.0,5.3,0.0,0.0,0.0,58.2
2020-01-05 19:00:00,0.0,0.0,4.7,0.0,0.0,0.0,61.1
2020-01-05 20:00:00,0.0,0.0,4.7,222.6,1.5,0.0,59.0
2020-01-05 21:00:00,0.0,0.0,4.7,223.3,1.9,0.0,58.5
2020-01-05 22:00:00,0.0,0.0,3.6,200.7,1.6,0.0,62.7
2020-01-05 23:00:00,0.0,0.0,3.1,199.1,1.1,0.0,64.4
2020-01-06 00:00:00,0.0,0.0,3.2,212.2,1.9,0.0,61.5
2020-01-06 01:00:00,0.0,0.0,2.4,204.7,1.8,0.0,62.8
2020-01-06 02:00:00,0.0,0.0,2.7,205.8,1.5,0.0,58.0
2020-01-06 03:00:00,0.0,0.0,2.6,209.5,1.8,0.0,54.1
2020-01-06 04:00:00,0.0,0.0,2.6,216.7,1.6,0.0,49.2
2020-01-06 05:00:00,0.0,0.0,2.5,219.9,2.0,0.0,46.9
2020-01-06 06:00:00,0.0,0.0,2.3,208.6,1.1,0.0,45.4
2020-01-06 07:00:00,0.0,0.0,3.6,199.8,1.7,0.0,39.2
2020-01-06 08:00:00,3.44083337,3.445000013,4.5,198.4,0.7,0.0,38.1
2020-01-06 09:00:00,5.505833308,5.795833349,4.5,201.1,0.6,0.0,42.3
2020-01-06 10:00:00,10.14727272,10.98272727,6.6,0.0,0.0,0.0,38.9
2020-01-06 11:00:00,7.430000027,7.824166616,7.8,194.6,0.5,0.0,37.8
2020-01-06 12:00:00,4.379166643,4.469166716,9.6,326.2,1.2,0.0,26.5
2020-01-06 13:00:00,4.410000026,4.546666642,8.0,288.7,2.8,0.0,48.7
2020-01-06 14:00:00,4.587500056,4.68750004,8.1,305.2,0.9,0.0,46.9
2020-01-06 15:00:00,4.127272714,4.197272734,8.5,0.0,0.0,0.0,45.3
2020-01-06 16:00:00,3.810000002,3.848333319,8.6,0.0,0.0,0.0,44.3
2020-01-06 17:00:00,3.544999957,3.504999995,7.6,0.0,0.0,0.0,53.3
2020-01-06 18:00:00,0.0,0.0,7.5,310.3,1.7,0.0,50.4
2020-01-06 19:00:00,0.0,0.0,7.2,201.4,0.5,0.0,53.1
2020-01-06 20:00:00,0.0,0.0,7.4,228.8,0.9,0.0,50.8
2020-01-06 21:00:00,0.0,0.0,7.0,176.3,0.7,0.0,54.9
2020-01-06 22:00:00,0.0,0.0,7.0,196.7,0.7,0.0,57.6
2020-01-06 23:00:00,0.0,0.0,6.6,198.2,0.9,0.0,65.8
2020-01-07 00:00:00,0.0,0.0,5.3,240.9,1.8,0.0,85.0
2020-01-07 01:00:00,0.0,0.0,5.0,211.5,1.3,0.5,91.7
2020-01-07 02:00:00,0.0,0.0,5.2,243.5,1.5,0.5,92.9
2020-01-07 03:00:00,0.0,0.0,5.1,0.0,0.0,1.0,93.7
2020-01-07 04:00:00,0.0,0.0,5.0,0.0,0.0,1.5,94.7
2020-01-07 05:00:00,0.0,0.0,5.2,0.0,0.0,2.5,95.6
2020-01-07 06:00:00,0.0,0.0,5.6,0.0,0.0,3.0,95.8
2020-01-07 07:00:00,0.0,0.0,5.4,0.0,0.2,2.0,95.9
2020-01-07 08:00:00,3.434285777,3.423750043,5.8,237.5,1.1,1.5,95.5
2020-01-07 09:00:00,3.791666667,3.821666658,5.9,220.6,0.7,1.5,95.4
2020-01-07 10:00:00,3.901666621,3.952500025,6.5,233.4,1.5,1.0,94.5
2020-01-07 11:00:00,3.994166692,4.024166763,6.8,244.1,2.2,0.5,93.0
2020-01-07 12:00:00,5.221666674,5.44750001,7.2,245.5,1.5,0.5,93.0
2020-01-07 13:00:00,4.089166681,4.18416669,7.7,233.4,0.9,1.0,93.5
2020-01-07 14:00:00,3.574166656,3.577500006,7.6,0.0,0.2,0.5,93.4
2020-01-07 15:00:00,3.683333377,3.661666691,7.5,260.7,0.6,0.5,94.5
2020-01-07 16:00:00,3.737500012,3.712500036,7.5,0.0,0.0,2.0,95.4
2020-01-07 17:00:00,2.8339152336120605,3.779999971,7.4,0.0,0.0,3.0,95.7
2020-01-07 18:00:00,0.0,0.0,7.4,237.1,0.7,1.5,96.1
2020-01-07 19:00:00,0.0,0.0,7.3,229.7,0.5,1.5,95.9
2020-01-07 20:00:00,0.0,0.0,7.3,0.0,0.0,1.5,96.0
2020-01-07 21:00:00,0.0,0.0,7.2,0.0,0.3,2.5,96.2
2020-01-07 22:00:00,0.0,0.0,7.2,208.4,1.1,1.5,96.2
2020-01-07 23:00:00,0.0,0.0,7.3,235.3,1.8,1.5,96.1
2020-01-08 00:00:00,0.0,0.0,7.3,236.9,1.4,1.5,96.5
2020-01-08 01:00:00,0.0,0.0,7.5,220.5,2.1,0.5,95.3
2020-01-08 02:00:00,0.0,0.0,7.6,246.1,2.4,0.0,95.4
2020-01-08 03:00:00,0.0,0.0,7.1,0.0,0.3,0.5,95.8
